Species,logged,Non.logged
"Anastrangalia dubia (Scop., 1763)",2,1
"Lepturobosca virens (L., 1758)",1,0
"Judolia sexmaculata (L., 1758)",63,39
"Pachytodes cerambyciformis (Schrk., 1781)",1,1
"Stenurella melanura (L., 1758)",78,36
"Molorchus minor (L., 1758)",42,56
"Callidium coriaceum (Payk., 1800)",1,0
"Callidium aeneum (DeGeer, 1775)",0,2
"Clytus lama (Muls., 1847)",15,0
"Monochamus sutor (L., 1758)",2,5
"Pogonocherus fasciculatus (DeGeer, 1775)",17,15
"Pogonocherus ovatus (Goeze, 1777)",1,0
"Acanthocinus griseus (F., 1792)",0,2
"Phthorophloeus spinulosus (Rey, 1883)",13,59
"Hylastes cunicularius (Er., 1836)",1101,1251
"Hylastes attenuatus (Er., 1836)",0,3
"Hylurgops glabratus (Zett., 1828)",14,24
"Hylurgops palliatus (Gyll., 1813)",37,136
"Dendroctonus micans (Kug., 1794)",1,0
"Polygraphus grandiclava (Thoms., 1886)",0,7
"Polygraphus poligraphus (L., 1758)",39,220
"Leperisinus fraxini (Panz., 1799)",1,0
"Xylechinus pilosus (Ratz., 1837)",5,106
"Crypturgus cinereus (Aubé, 1862)",18,59
"Crypturgus hispidulus (Thoms., 1870)",15,10
"Dryocoetes autographus (Ratz., 1837)",438,931
"Dryocoetes hectographus (Rtt., 1913)",133,290
"Cryphalus abietis (Ratz., 1837)",25,109
"Ernoporicus fagi (F., 1778)",1,0
"Pityophthorus pityographus (Ratz., 1837)",62,645
"Taphrorychus bicolor (Hbst., 1793)",2,0
"Pityogenes chalcographus (L., 1761)",3147,6697
"Pityogenes conjunctus (Rtt., 1887)",112,289
"Pityogenes bidentatus (Hbst., 1783)",11,9
"Orthotomicus laricis (F., 1792)",9,8
"Ips typographus (L., 1758)",796,7785
"Ips amitinus (Eichh., 1871)",74,428
"Xyloterus domesticus (L., 1758)",4,13
"Xyloterus lineatus (Ol., 1795)",208,1579
"Xyloterus laevae (Eggers, 1939)",13,66
"Rhyncolus ater (L., 1758)",5,7
"Pissodes validirostris (Sahlb., 1834)",0,1
"Pissodes harcyniae (Hbst., 1795)",1,1
"Magdalis nitida (Gyll., 1827)",16,19
"Trachodes hispidus (L., 1758)",0,3
"Hylobius piceus (DeGeer, 1775)",3,6
"Hylobius abietis (L., 1758)",85,24
"Acalles pyrenaeus (Boh., 1844)",1,0
