Species,Young,Old
Lacanobia thalassina,0,5
Lacanobia oleracea,0,3
Hada plebeja,1,1
Lasionycta proxima,0,1
Orthosia incerta,2,1
Orthosia cerasi,3,6
Orthosia cruda,24,22
Orthosia populeti,2,0
Orthosia opima,0,1
Orthosia gothica,11,3
Anorthoa munda,5,2
Agrotis exclamationis,2,1
Agrotis segetum,9,1
Agrotis ipsilon,4,0
Ochropleura plecta,2,5
Diarsia brunnea,0,1
Diarsia mendica,0,1
Noctua pronuba,10,8
Noctua fimbriata,2,0
Noctua interposita,5,10
Noctua comes,5,3
Noctua janthina,2,0
Noctua janthe,1,0
Eurois occulta,2,0
Xestia baja,3,2
Xestia stigmatica,1,0
Xestia castanea,0,1
Xestia xanthographa,2,0
Xestia c-nigrum,16,6
Xestia triangulum,0,2
Metagnorisma depuncta,11,9
